id,name,text,trans
0000000000000,社会教師,アイドルなら誰しも、\n成り上がりを目指すだろう。,作为偶像，\n谁都会想要出人头地吧。
0000000000000,社会教師,成り上がりには侮蔑の意味もあったが、\n今はそれも薄れてきたな。,虽然“出人头地”这个词曾经带有贬义，\n但现在这种意味已经淡化了。
0000000000000,社会教師,さて、成り上がりと言えば豊臣秀吉だ。\n彼についての有名なエピソードだが……,说到出人头地，就不得不提丰臣秀吉。\n关于他有一个著名的故事……
0000000000000,社会教師,織田信長の草履を、どこで温めて\nいたか知ってるか？,你们知道他是怎么给织田信长的草鞋\n保暖的吗？
0000000000000,ことね,（プロデューサーがいい話ふうに\n　言ってたなー）,（制作人好像说过这个故事来着……）
0000000000000,ことね,（でも……あれ？\n　どこって言ってたっけ？）,（但是……咦？\n他说是哪里来着？）
select,,背中,背后
select,,袖の下,袖子下面
select,,尻の下,屁股下面
0000000000000,社会教師,よく知ってたな。正解だ。,你们知道得挺清楚嘛。正确答案。
0000000000000,社会教師,懐で温めていた話が一番有名だが、\n別のバージョンもある。,虽然最广为人知的版本是说他在怀里保暖，\n但其实还有其他版本。
0000000000000,社会教師,『名将言行録』という本では、\n背中で温めていたことになってるんだ。,在《名将言行录》这本书里，\n记载的是他在背后保暖。
0000000000000,ことね,（じゃあ、どっちが正しいんだろ）,（那到底哪个才是正确的呢？）
0000000000000,ことね,（ま、どっちでもいいケド～♪）,（嘛，哪个都无所谓啦～♪）
0000000000000,社会教師,残念。正解は背中だ。\n温まるという意味では間違ってないな。,可惜。\n正确答案是背后。从保暖的角度来说，这也没错。
0000000000000,社会教師,物によっては懐だったりと\n文献にばらつきがある。,根据不同的文献，\n有的说是怀里，有的说是背后，说法不一。
0000000000000,社会教師,それどころか後世の創作だと\n言う説もあるんだ。,甚至有人认为这完全是\n后世的创作。
0000000000000,ことね,袖の下って聞いたこと\nあるんですけどー。,我听说过袖子下面的版本呢。
0000000000000,社会教師,袖の下は賄賂のことだ。\n袖の下からそっと贈るという意味だな。,袖子下面指的是贿赂。\n意思是悄悄从袖子下面送东西。
0000000000000,ことね,ふーん……半袖のときは\nどうしたんだろ。,嗯……那要是穿短袖的时候\n怎么办呢？
0000000000000,社会教師,それだと秀吉は打首だな。\n正解は背中だ。,那样的话，秀吉就要被砍头了。\n正确答案是背后。
0000000000000,社会教師,懐だったり背中だったり、\nなぜこういう違いが出るかというと……,为什么会有怀里和背后这样的不同说法呢，\n这是因为……
0000000000000,社会教師,どちらも、何百年も後に\n発表されたからだ。,因为这些都是几百年后才\n被记录下来的。
0000000000000,社会教師,実際なにが起きたかはわからない。\nもしかしたら作り話かもな。,实际上发生了什么，我们无从得知。\n也许这只是一个编造的故事。
0000000000000,ことね,（でも、秀吉が成り上がったのは\n　ジジツなんでしょ？）,（不过，秀吉出人头地\n是事实，对吧？）
0000000000000,ことね,（偉い人に気に入られるよーな\n　コトはしてたんだよねー♪）,（他确实做了让大人物喜欢\n的事情呢～♪）
info,adv_pevent_001_fktn_school_005.txt,,
译者,deepseek-chat,,
