id,name,text,trans
0000000000000,あさり先生,今日は花海さんに関連した\n話をしましょう。,今天我们来聊聊和花海小姐相关的话题吧。
0000000000000,あさり先生,花海さんが作る七色のドリンク。\nそのままでもぶき……綺麗ですけど……,花海小姐制作的七彩饮品。\n即使不喝……也很漂亮呢……
0000000000000,あさり先生,実はブラックライトをあてると\nキラキラ光るんです。なぜでしょう？,其实用黑光灯照射的话，\n它会闪闪发光。为什么呢？
select,,ビタミンB2が\n入っている,含有维生素B2
select,,ビタミンCが\n入っている,含有维生素C
select,,言えない成分が\n入っている,含有说不出的成分
0000000000000,あさり先生,そのとおり！\nすごいですよ！,没错！\n很厉害吧！
0000000000000,あさり先生,あのドリンクには様々な栄養素が\n入っているんですが……,那款饮品里含有多种营养素……
0000000000000,あさり先生,その中の1つ、ビタミンB2が\nブラックライトで光るんですよ。,其中之一的维生素B2，\n在黑光灯下会发光哦。
0000000000000,あさり先生,ビタミンB2は『発育のビタミン』とも\n呼ばれる、大事な栄養素です。,维生素B2也被称为“发育的维生素”，\n是一种重要的营养素。
0000000000000,あさり先生,光るからといって、避けたりしないよう\n注意してくださいね。,不要因为它会发光就避开它哦，\n请注意。
0000000000000,あさり先生,惜しい～！\nうろ覚えでした？,可惜～！\n是记错了吗？
0000000000000,あさり先生,あのドリンクには様々な栄養素が\n入っているんですが……,那款饮品里含有多种营养素……
0000000000000,あさり先生,その中の一つ、ビタミンB2が\nブラックライトで光るんですよ。,其中之一的维生素B2，\n在黑光灯下会发光哦。
0000000000000,あさり先生,ビタミンB2は『発育のビタミン』とも\n呼ばれる、大事な栄養素です。,维生素B2也被称为“发育的维生素”，\n是一种重要的营养素。
0000000000000,あさり先生,代謝や細胞の再生には欠かせません。\n不足しないよう、注意してくださいね。,它对代谢和细胞再生不可或缺。\n请注意不要缺乏哦。
0000000000000,あさり先生,こらこら、そういうことを\n言っちゃだめですよ。,喂喂，这种话\n可不能乱说哦。
0000000000000,あさり先生,あのドリンクには様々な栄養素が\n入っているんですが……,那款饮品里含有多种营养素……
0000000000000,あさり先生,その中の一つ、ビタミンB2が\nブラックライトで光るんですよ。,其中之一的维生素B2，\n在黑光灯下会发光哦。
0000000000000,あさり先生,ビタミンB2は『発育のビタミン』とも\n呼ばれる、大事な栄養素です。,维生素B2也被称为“发育的维生素”，\n是一种重要的营养素。
0000000000000,あさり先生,不足しないよう、\nしっかり摂取しましょうね。,请注意不要缺乏，\n要好好摄取哦。
info,adv_pevent_001_hski_school_007.txt,,
译者,deepseek-chat,,
