id,name,text,trans
0000000000000,佑芽,今日のミニライブに出る子\nみんな、『N.I.A』に\n出場するんですよね……,今天参加迷你演唱会的大家\n都会参加『N.I.A』对吧……
0000000000000,佑芽,つまり――全員、あたしが倒すべき\n敵ってことですねっ！,也就是说——所有人都是\n我要打倒的敌人呢！
select,,気合十分の\nようですね,看起来干劲十足呢
select,,全員倒しましょう,把所有人都打倒吧
select,,佑芽さんなら\n負けません,如果是佑芽的话\n不会输的
0000000000000,佑芽,はいっ！　勝負は始まってるんだって\nうずうずしてきました……！,是的！比赛已经开始了\n我已经迫不及待了……！
0000000000000,{user},いいライブだったぞ……！,真是场精彩的演唱会……！
0000000000000,佑芽,もちろんです、プロデューサーさんも\n本気、みたいですねっ！,当然啦，制作人也\n很认真呢！
0000000000000,{user},いいライブだったぞ……！,真是场精彩的演唱会……！
0000000000000,佑芽,当然です！　お姉ちゃんと戦う前に\n負けるつもりはありませんから！,那是当然！在和姐姐对战之前\n我可没打算输呢！
0000000000000,{user},いいライブだったぞ……！,真是场精彩的演唱会……！
info,adv_pevent_002_hume_sales_4-001-01.txt,,
译者,deepseek-chat,,
