id,name,text,trans
0000000000000,千奈,とっても楽しかったですわ！\n愛と友情が素敵でした！,非常开心呢！\n爱与友情真是太棒了！
0000000000000,{user},よかった。ではこの後、宣伝用の\nコメント収録です。,太好了。接下来是宣传用的\n评论录制。
select,,絶賛して\nください,请大力称赞
select,,正直な感想を,请说出真实的感想
select,,印象に残った\n場面を,请谈谈印象深刻的\n场景
0000000000000,千奈,すごかったですわ！\nとってもすごかったのです！,太厉害了！\n真的非常厉害呢！
0000000000000,{user},コメントの勢いがウケて、\n予告の視聴数が爆増したらしい……！,评论的气势很受欢迎，\n预告的观看量似乎爆增了……！
0000000000000,千奈,わたくしもスペースマジックを\n使えるようになりたいですわ！,我也想学会使用\n空间魔法呢！
0000000000000,{user},コメントの勢いがウケて、\n予告の視聴数が爆増したらしい……！,评论的气势很受欢迎，\n预告的观看量似乎爆增了……！
0000000000000,千奈,最後に超新星アメーバを\n子供が倒したところですわ！,最后是孩子们\n打败了超新星阿米巴的地方呢！
0000000000000,{user},コメントの勢いがウケて、\n予告の視聴数が爆増したらしい……！,评论的气势很受欢迎，\n预告的观看量似乎爆增了……！
info,adv_pevent_002_kcna_sales_4-004-02.txt,,
译者,deepseek-chat,,
