id,name,text,trans
0000000000000,莉波,{user}くん、おはよう！,{user}，早上好！
0000000000000,{user},おはようございます。,早上好。
select,,差し入れを\n持ってきました,带了些\n点心来。
select,,いいことでも\nありましたか？,是有什么\n好事发生了吗？
0000000000000,莉波,ありがとう、\n{user}くん！,谢谢你，\n{user}！
0000000000000,莉波,私、いつももらってばっかりだなぁ。,我总是收到你的东西呀。
0000000000000,莉波,私からもちゃんとお返しできるように、\n今日もレッスン頑張るね♪,我也要好好回报你，\n所以今天也会努力上课的♪
0000000000000,莉波,んんー、そうだね……\nあったかも。,嗯……好像\n有吧。
0000000000000,莉波,最近、調子がいいなって\n自分でも感じてる。,最近我自己也觉得，\n状态不错。
0000000000000,莉波,コンディションをしっかり整えて、\nがんばるね！,我会调整好状态，\n努力加油的！
info,adv_pstory_001_hrnm_opening-true-02.txt,,
译者,gpt-4o-2024-05-13,,
