id,name,text,trans
0000000000000,星南,プロデューサー、結果は？,制作人，结果如何？
0000000000000,{user},合格です。最高の結果でしたね。,合格了。是最好的结果呢。
0000000000000,星南,……うん。,……嗯。
0000000000000,星南,我ながら……\nいいパフォーマンスだったわ。,我觉得自己……\n表现得很好。
select,,なにかを\nつかみましたか？,你抓住了\n什么吗？
select,,さすが\n一番星ですね,不愧是\n一番星啊
select,,去年の自分に\n勝てますか？,能打败\n去年的自己吗？
0000000000000,星南,わからないわ……,我不知道……
0000000000000,星南,だって、きっとこれは……\n数値では計れないものだから。,因为，这肯定是……\n无法用数字衡量的东西。
0000000000000,星南,ひょっとしたら気のせいで……私は\n何も変わっていないのかもしれない。,或许只是我的错觉……我\n其实什么都没有改变。
0000000000000,星南,けれど、手応えがあった。\nたとえ幻想でも構わないわ。,但是，我感觉到了。\n即使是幻想也无所谓。
0000000000000,星南,あなたと自分を信じて進む。\nそれだけよ。,相信你，相信自己，继续前进。\n就这样。
0000000000000,星南,あなたがそう言ってくれるのなら、\n自信を持ってよさそうね。,如果你这么说的话，\n那我应该可以自信一点吧。
0000000000000,{user},意外ですね。\n自信がなかったんですか？,真意外呢。\n你没有自信吗？
0000000000000,星南,ええ、実力が上昇していく\nあの感覚を失った私は……,是啊，失去了那种\n实力提升的感觉之后……
0000000000000,星南,気持ちの面で、去年の私に\n劣っていると思っていたの。,在心态上，我觉得自己\n不如去年的我。
0000000000000,星南,いまの私が去年に劣らぬ\n<r\=プリマステラ>一番星</r>であるというなら……,如果现在的我依然是\n<r\=プリマステラ>一番星</r>的话……
0000000000000,星南,あなたのおかげよ、先輩。,那都是托你的福，前辈。
0000000000000,星南,そうね……いまの私なら……,是啊……现在的我……
0000000000000,星南,勝てる、と、思う。,应该能胜过她，吧。
0000000000000,{user},それなら、第一関門突破です。,那么，第一关已经突破了。
0000000000000,星南,ええ、次のステージへと進みましょう。,嗯，让我们迈向下一个舞台吧。
0000000000000,星南,今年の私が戦うのは、\n過去の自分だけではないのだから。,今年的我面对的，\n不仅仅是过去的自己。
info,adv_pstory_001_jsna_after-audition-mid-normal-01.txt,,
译者,gpt-4o-2024-05-13,,
